,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity
0,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,Blinding Lights,The Weeknd,201573,2019-11-29,0.00147,0.513,0.796,0.000209,1,0.0938,-4.075,1,0.0629,171.017,4,0.345,18
1,4LEK9rD7TWIG4FCL1s27XC,cardigan,folklore,Taylor Swift,239560,2020-07-24,0.537,0.613,0.581,0.000345,0,0.25,-8.588,0,0.0424,130.033,4,0.551,52
2,7igeByaBM0MgGsgXtNxDJ7,positions,positions,Ariana Grande,172324,2020-10-23,0.468,0.736,0.802,0.0,0,0.094,-4.759,1,0.0864,144.005,4,0.675,11
3,696DnlkuDOXcMAnKlTgXXK,ROXANNE,ROXANNE,Arizona Zervas,163636,2019-10-10,0.0522,0.621,0.601,0.0,6,0.46,-5.616,0,0.148,116.735,5,0.457,77
4,0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,196652,2019-12-06,0.104,0.896,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642,82
5,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,174000,2019-12-13,0.122,0.548,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557,88
6,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Certified Hitmaker,Lil Mosey,162546,2020-02-06,0.207,0.774,0.554,0.0,0,0.132,-7.909,1,0.0383,99.034,4,0.349,75
7,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Toosie Slide,Drake,247058,2020-04-03,0.321,0.834,0.454,6.15e-06,1,0.114,-9.75,0,0.201,81.618,4,0.837,73
8,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,Party Girl,StaySolidRocky,147800,2020-04-21,0.749,0.728,0.431,0.0,6,0.0996,-9.966,0,0.0622,130.022,4,0.629,72
9,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,187541,2020-08-07,0.0194,0.935,0.454,0.0,1,0.0824,-7.509,1,0.375,133.073,4,0.357,79
10,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,160000,2020-07-03,0.65,0.709,0.548,1.59e-06,10,0.133,-8.493,1,0.353,83.995,4,0.543,81
11,2rRJrJEo19S2J82BDsQ3F7,Falling,Nicotine,Trevor Daniel,159381,2020-03-26,0.123,0.784,0.43,0.0,10,0.0887,-8.756,0,0.0364,127.087,4,0.236,1
12,3hUxzQpSfdDqwM3ZTFQY0K,august,folklore,Taylor Swift,261922,2020-07-24,0.538,0.532,0.623,7.28e-05,5,0.0925,-9.208,1,0.0331,89.937,4,0.403,91
13,2b8fOow8UzyDFAE27YhOZM,Memories,Memories,Maroon 5,189486,2019-09-20,0.837,0.764,0.32,0.0,11,0.0822,-7.209,1,0.0546,91.019,4,0.575,29
14,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),Powfu,173333,2020-02-08,0.731,0.726,0.431,0.0,8,0.696,-8.765,0,0.135,144.026,4,0.348,82
15,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,228482,2020-05-08,0.223,0.597,0.45,0.0,8,0.382,-6.658,1,0.0418,178.765,3,0.537,80
16,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,237735,2020-01-10,0.0706,0.676,0.609,0.0,2,0.152,-5.831,0,0.481,142.037,4,0.508,77
17,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,182200,2020-05-22,0.021,0.672,0.855,0.0,9,0.323,-3.764,1,0.0397,123.056,4,0.646,73
