,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity
0,7lPN2DXiMsVn7XUKtOW1CS,drivers license,drivers license,Olivia Rodrigo,242013,2021-01-08,0.721,0.585,0.436,1.31e-05,10,0.105,-8.761,1,0.0601,143.874,4,0.132,28
1,67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,137875,2021-03-31,0.297,0.61,0.508,0.0,8,0.384,-6.682,0,0.152,178.818,4,0.758,74
2,7hU3IHwjX150XLoTVmjD0q,MONEY,LALISA,LISA,168227,2021-09-10,0.161,0.831,0.554,6.12e-05,1,0.152,-9.998,0,0.218,140.026,4,0.396,80
3,3Wrjm47oTz2sjIgck11l5e,Beggin',Chosen,Måneskin,211560,2017-12-08,0.127,0.714,0.8,0.0,11,0.359,-4.808,0,0.0504,134.002,4,0.589,84
4,37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,191013,2021-04-23,0.0215,0.65,0.825,2.44e-05,0,0.0936,-4.645,1,0.0325,118.091,4,0.593,82
5,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,198081,2021-03-19,0.321,0.677,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464,82
6,7MAibcTli4IisCtbHKrGMh,Leave The Door Open,Leave The Door Open,Bruno Mars,242096,2021-03-05,0.182,0.586,0.616,0.0,5,0.0927,-7.964,1,0.0324,148.088,4,0.719,18
7,61KpQadow081I2AsbeLcsb,deja vu,deja vu,Olivia Rodrigo,215507,2021-04-01,0.593,0.439,0.61,1.07e-05,9,0.341,-7.236,1,0.116,181.088,4,0.172,16
8,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,Good Days,SZA,279204,2020-12-25,0.499,0.436,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412,80
9,6PQ88X9TkUIAUIZJHW2upE,Bad Habits,Bad Habits,Ed Sheeran,231041,2021-06-25,0.0469,0.808,0.897,3.14e-05,11,0.364,-3.712,0,0.0348,126.026,4,0.591,18
10,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,141805,2021-07-09,0.0383,0.591,0.764,0.0,1,0.103,-5.484,1,0.0483,169.928,4,0.478,85
11,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,212352,2021-09-17,0.0221,0.741,0.691,0.0,10,0.0476,-7.395,0,0.0672,150.087,4,0.892,78
12,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,208866,2021-04-09,0.235,0.762,0.701,0.000158,8,0.123,-3.541,1,0.0286,110.968,4,0.742,77
13,6PERP62TejQjgHu81OHxgM,good 4 u,good 4 u,Olivia Rodrigo,178147,2021-05-14,0.3,0.556,0.661,0.0,6,0.101,-5.052,0,0.204,168.56,4,0.668,22
14,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,TAKE TIME,Giveon,198370,2020-03-27,0.524,0.449,0.465,1.02e-06,0,0.303,-8.964,1,0.0791,89.087,3,0.543,81
15,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Easy On Me,Adele,224694,2021-10-14,0.578,0.604,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,4,0.13,82
16,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,613026,2021-11-12,0.274,0.631,0.518,0.0,0,0.088,-8.771,1,0.0303,93.023,4,0.205,85
17,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Happier Than Ever,Billie Eilish,298899,2021-07-30,0.767,0.332,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,0.297,86
18,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Certified Lover Boy,Drake,291175,2021-09-03,0.0503,0.666,0.465,0.0,1,0.215,-8.545,1,0.26,167.937,4,0.292,85
19,6Uj1ctrBOjOas8xZXGqKk4,Woman,Planet Her,Doja Cat,172626,2021-06-25,0.0888,0.824,0.764,0.00294,5,0.117,-4.175,0,0.0854,107.998,4,0.881,86
20,3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,132780,2021-01-06,0.175,0.778,0.695,0.0,4,0.15,-6.865,0,0.0913,149.996,4,0.472,76
21,3VqeTFIvhxu3DIe4eZVzGq,Butter,Butter,BTS,164441,2021-05-21,0.00323,0.759,0.459,0.0,8,0.0906,-5.187,1,0.0948,109.997,4,0.695,10
22,463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,203064,2020-10-01,0.00883,0.702,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,74
23,4fSIb4hdOQ151TILNsSEaF,Todo De Ti,Todo De Ti,Rauw Alejandro,199604,2021-05-20,0.31,0.78,0.718,0.000163,3,0.0932,-3.605,0,0.0506,127.949,4,0.342,78
24,6Im9k8u9iIzKMrmV7BWtlF,34+35,Positions,Ariana Grande,173710,2020-10-30,0.237,0.83,0.585,0.0,0,0.248,-6.476,1,0.094,109.978,4,0.485,79
25,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,160191,2020-12-04,0.112,0.653,0.524,0.0,11,0.203,-9.016,0,0.0502,83.97,4,0.553,84
26,0k4d5YPDr1r7FX77VdqWez,You Right,Planet Her,Doja Cat,186173,2021-06-25,0.0164,0.828,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436,82
27,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,Glass Animals,238805,2020-08-07,0.44,0.761,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,90
28,4u4NyuceXP7Uzh7XFJKCr1,Hold On,Hold On,Justin Bieber,170813,2021-03-05,0.0106,0.658,0.634,0.0,1,0.132,-5.797,0,0.0413,139.98,4,0.29,70
29,3FeVmId7tL5YN8B7R3imoM,My Universe,My Universe,Coldplay,228000,2021-09-24,0.00813,0.588,0.701,0.0,9,0.2,-6.39,1,0.0402,104.988,4,0.443,79
